t_s,rpm,u1_suction,u2_circ,u3_inlet,Q_Nm3h,p_disch_kPa,T_disch_C,p_suction_kPa,T_suction_C,vib_um
1895,7788,64.4,35.6,59.6,6903.9,206.20,45.88,101.02,24.97,14.12
1896,7785,64.3,35.7,59.5,6914.4,206.99,43.89,101.32,24.86,13.84
1897,7783,64.1,35.9,59.4,6894.1,206.79,43.64,101.52,25.09,15.01
1898,7780,64.0,36.0,59.3,6933.6,206.76,42.54,101.57,24.43,13.67
1899,7778,63.9,36.1,59.3,6905.8,206.17,43.10,101.37,24.78,14.57
1900,7775,63.8,36.2,59.2,6820.6,206.82,45.38,101.46,25.13,13.66
1901,7773,63.6,36.4,59.1,6947.3,206.26,43.19,101.43,25.66,14.73
1902,7770,63.5,36.5,59.0,6756.1,205.65,44.73,100.97,25.84,13.79
1903,7768,63.4,36.6,58.9,6905.1,206.68,42.38,101.51,23.78,13.97
1904,7765,63.3,36.7,58.8,6816.0,206.33,43.08,101.30,24.60,12.79
1905,7763,63.1,36.9,58.8,6727.5,206.36,46.23,101.74,24.43,13.96
1906,7760,63.0,37.0,58.7,6725.8,206.50,46.03,101.69,24.62,13.50
1907,7758,62.9,37.1,58.6,6741.4,205.64,41.98,101.05,25.15,14.45
1908,7755,62.8,37.2,58.5,6582.4,206.00,44.77,101.09,25.34,13.67
1909,7753,62.6,37.4,58.4,6537.1,206.10,41.81,101.43,25.09,14.76
1910,7750,62.5,37.5,58.3,6471.1,206.95,44.32,101.85,25.72,14.50
1911,7748,62.4,37.6,58.3,6589.3,206.30,43.24,101.19,24.03,14.13
1912,7745,62.3,37.7,58.2,6556.8,205.72,42.46,101.11,24.98,13.69
1913,7743,62.1,37.9,58.1,6593.4,205.27,44.48,100.71,23.92,13.55
1914,7740,62.0,38.0,58.0,6571.8,206.15,44.77,101.97,25.77,14.45
1915,7738,61.9,38.1,57.9,6518.5,205.67,45.28,101.19,24.61,13.84
1916,7735,61.8,38.2,57.8,6447.6,205.73,42.72,101.39,24.02,14.53
1917,7733,61.6,38.4,57.8,6386.9,205.49,42.31,101.09,24.90,14.34
1918,7730,61.5,38.5,57.7,6448.6,204.63,43.46,100.97,25.49,14.00
1919,7728,61.4,38.6,57.6,6441.0,205.25,42.72,101.17,24.74,13.21
1920,7725,61.3,38.7,57.5,6244.4,205.50,42.64,101.46,25.00,14.22
1921,7723,61.1,38.9,57.4,6306.3,205.45,44.36,101.43,24.90,14.50
1922,7720,61.0,39.0,57.3,6267.1,204.29,45.12,100.69,24.96,14.07
1923,7718,60.9,39.1,57.3,6339.6,204.98,42.01,101.32,25.18,13.63
1924,7715,60.8,39.2,57.2,6213.9,205.19,43.40,101.66,25.24,13.42
1925,7713,60.6,39.4,57.1,6159.8,205.05,42.67,101.00,24.89,14.06
1926,7710,60.5,39.5,57.0,6168.6,205.42,44.03,101.60,24.54,14.75
1927,7708,60.4,39.6,56.9,6133.7,205.07,44.30,101.71,25.53,14.73
1928,7705,60.3,39.7,56.8,6018.1,204.50,43.05,101.51,24.35,13.38
1929,7703,60.1,39.9,56.8,5953.4,203.43,42.29,100.31,25.12,14.36
1930,7700,60.0,40.0,56.7,5935.4,205.81,39.99,102.07,23.79,14.01
1931,7698,59.9,40.1,56.6,5924.6,204.44,43.36,101.01,24.02,13.93
1932,7695,59.8,40.2,56.5,5881.0,205.29,44.50,101.82,24.67,13.58
1933,7693,59.6,40.4,56.4,5947.7,204.47,43.47,101.22,24.95,14.02
1934,7690,59.5,40.5,56.3,5884.2,204.85,44.40,101.37,24.98,13.71
1935,7688,59.4,40.6,56.3,6000.7,203.96,42.09,100.73,25.08,13.18
1936,7685,59.3,40.7,56.2,5890.1,204.38,42.79,101.45,25.05,13.98
1937,7683,59.1,40.9,56.1,5836.4,203.34,42.19,100.68,25.11,14.43
1938,7680,59.0,41.0,56.0,5845.6,204.33,44.62,101.18,25.11,13.48
1939,7678,58.9,41.1,55.9,5760.8,204.37,43.87,101.56,24.83,14.41
1940,7675,58.8,41.2,55.8,5714.9,204.08,43.42,101.50,24.23,13.84
1941,7673,58.6,41.4,55.8,5721.4,203.80,44.76,100.92,25.13,13.97
1942,7670,58.5,41.5,55.7,5689.2,205.02,42.85,101.70,24.96,13.86
1943,7668,58.4,41.6,55.6,5845.6,203.45,42.43,100.76,25.00,14.47
1944,7665,58.3,41.7,55.5,5667.0,203.76,44.05,101.42,24.99,13.76
1945,7663,58.1,41.9,55.4,5602.9,203.71,42.88,101.43,25.29,14.89
1946,7660,58.0,42.0,55.3,5653.2,203.33,47.42,100.59,24.37,14.54
1947,7658,57.9,42.1,55.3,5546.6,203.62,43.53,100.95,25.38,13.47
1948,7655,57.8,42.2,55.2,5630.8,204.06,42.94,101.49,24.76,14.29
1949,7653,57.6,42.4,55.1,5488.2,203.54,41.47,101.31,25.32,13.46
1950,7650,57.5,42.5,55.0,5487.5,203.47,46.45,101.10,25.55,14.71
1951,7648,57.4,42.6,54.9,5535.7,203.44,43.18,101.39,25.17,14.11
1952,7645,57.3,42.7,54.8,5540.7,203.67,43.21,101.11,25.33,13.27
1953,7643,57.1,42.9,54.8,5419.8,203.55,44.89,100.89,25.99,13.87
1954,7640,57.0,43.0,54.7,5413.1,203.25,42.97,100.91,24.71,14.97
1955,7638,56.9,43.1,54.6,5365.2,204.79,44.68,102.30,25.43,14.86
1956,7635,56.8,43.2,54.5,5405.9,203.00,41.75,101.09,24.43,13.42
1957,7633,56.6,43.4,54.4,5268.7,203.27,42.12,101.47,24.74,12.94
1958,7630,56.5,43.5,54.3,5325.4,202.54,42.89,100.64,25.20,13.71
1959,7628,56.4,43.6,54.3,5334.6,203.27,43.78,101.57,25.19,12.61
1960,7625,56.3,43.7,54.2,5370.8,203.38,45.22,101.53,25.29,12.86
1961,7623,56.1,43.9,54.1,5192.4,202.41,41.22,101.06,24.08,13.63
1962,7620,56.0,44.0,54.0,5218.3,202.60,40.92,100.78,23.97,14.87
1963,7618,55.9,44.1,53.9,5179.0,202.82,44.10,101.21,25.10,13.69
1964,7615,55.8,44.2,53.8,5147.3,202.69,44.39,101.37,24.71,13.03
1965,7613,55.6,44.4,53.8,5186.3,201.83,42.16,100.79,24.51,13.75
1966,7610,55.5,44.5,53.7,5069.7,202.45,45.11,101.11,24.84,14.03
1967,7608,55.4,44.6,53.6,5042.6,202.72,42.14,101.54,25.20,12.69
1968,7605,55.3,44.7,53.5,5093.5,202.15,43.00,101.12,24.82,12.95
1969,7603,55.1,44.9,53.4,5054.5,202.68,44.61,101.50,25.08,14.09
1970,7600,55.0,45.0,53.3,4986.0,202.81,44.22,101.07,24.81,13.75
1971,7598,54.9,45.1,53.3,4962.2,202.45,43.96,101.62,24.05,13.88
1972,7595,54.8,45.2,53.2,4990.0,202.32,44.20,101.45,25.81,12.98
1973,7593,54.6,45.4,53.1,4938.3,203.23,41.95,101.76,24.11,13.18
1974,7590,54.5,45.5,53.0,4945.5,202.57,43.40,101.77,24.84,13.88
1975,7588,54.4,45.6,52.9,4836.6,201.21,42.47,100.73,25.00,14.21
1976,7585,54.3,45.7,52.8,4934.3,202.13,43.58,101.50,26.18,13.05
1977,7583,54.1,45.9,52.8,4808.8,202.78,43.00,102.13,24.73,13.43
1978,7580,54.0,46.0,52.7,4704.9,202.38,45.22,101.30,24.57,12.25
1979,7578,53.9,46.1,52.6,4672.6,202.44,45.44,101.68,25.58,13.49
1980,7575,53.8,46.2,52.5,4752.8,202.10,41.58,101.58,25.16,13.07
1981,7573,53.6,46.4,52.4,4692.7,201.81,43.27,101.38,25.39,13.60
1982,7570,53.5,46.5,52.3,4612.6,200.99,44.46,101.24,25.31,12.87
1983,7568,53.4,46.6,52.3,4619.3,201.93,43.51,101.50,24.91,12.87
1984,7565,53.3,46.7,52.2,4637.1,201.26,45.05,101.12,25.58,13.11
1985,7563,53.1,46.9,52.1,4603.4,202.39,43.64,102.17,24.78,13.90
1986,7560,53.0,47.0,52.0,4532.4,201.60,42.73,101.45,24.35,13.96
1987,7558,52.9,47.1,51.9,4555.6,201.19,43.62,101.49,25.04,14.10
1988,7555,52.8,47.2,51.8,4431.8,200.95,42.23,100.99,25.50,14.07
1989,7553,52.6,47.4,51.8,4470.6,201.07,42.55,100.80,25.27,13.18
1990,7550,52.5,47.5,51.7,4479.3,201.67,43.27,101.29,24.17,13.50
1991,7548,52.4,47.6,51.6,4420.5,202.16,44.42,101.88,25.03,12.49
1992,7545,52.3,47.7,51.5,4394.6,202.07,41.33,101.85,24.83,13.53
1993,7543,52.1,47.9,51.4,4364.2,200.16,43.56,100.40,24.50,12.31
1994,7540,52.0,48.0,51.3,4431.6,201.47,44.96,101.80,25.63,12.63
1995,7538,51.9,48.1,51.3,4419.3,201.19,43.53,101.64,24.35,12.58
1996,7535,51.8,48.2,51.2,4275.4,200.97,41.36,101.61,23.83,13.50
1997,7533,51.6,48.4,51.1,4322.5,200.57,43.82,101.40,25.64,14.60
1998,7530,51.5,48.5,51.0,4255.4,201.98,41.34,102.03,25.26,13.42
1999,7528,51.4,48.6,50.9,4261.6,200.70,43.13,101.45,25.37,12.96
2000,7525,51.3,48.7,50.8,4302.7,199.79,44.95,100.11,24.93,13.39
2001,7523,51.1,48.9,50.8,4133.3,200.26,43.16,100.96,24.62,13.58
2002,7520,51.0,49.0,50.7,4157.2,200.63,40.95,101.52,24.39,13.32
2003,7518,50.9,49.1,50.6,4203.3,200.53,41.05,101.39,24.87,12.82
2004,7515,50.8,49.2,50.5,4194.1,200.93,44.66,101.45,24.93,12.43
2005,7513,50.6,49.4,50.4,4144.1,200.67,43.01,101.83,25.43,13.67
2006,7510,50.5,49.5,50.3,4074.7,200.66,41.31,101.82,24.22,12.46
2007,7508,50.4,49.6,50.3,4031.1,200.05,44.27,101.21,25.57,13.47
2008,7505,50.3,49.7,50.2,4026.5,200.69,42.08,101.25,24.51,13.27
2009,7503,50.1,49.9,50.1,4003.9,200.77,42.47,102.01,25.32,12.79
2010,7500,50.0,50.0,50.0,3958.8,200.59,43.79,101.73,25.61,12.76
2011,7500,50.0,50.0,50.0,4043.5,199.42,43.07,100.54,25.37,13.13
2012,7500,50.0,50.0,50.0,3937.3,200.21,43.04,101.31,25.00,12.13
2013,7500,50.0,50.0,50.0,3943.6,199.91,41.81,100.86,24.53,13.46
2014,7500,50.0,50.0,50.0,3877.8,199.12,43.36,100.72,25.82,12.54
2015,7500,50.0,50.0,50.0,3973.0,200.04,43.93,101.40,24.26,13.49
2016,7500,50.0,50.0,50.0,3984.0,200.12,45.23,100.67,25.66,13.45
2017,7500,50.0,50.0,50.0,3984.4,199.91,43.41,101.10,25.87,12.32
2018,7500,50.0,50.0,50.0,3930.4,200.37,41.00,101.02,24.37,12.83
2019,7500,50.0,50.0,50.0,4004.7,198.77,42.50,100.21,24.36,13.79
2020,7500,50.0,50.0,50.0,3967.8,199.73,42.87,100.87,25.29,12.29
2021,7500,50.0,50.0,50.0,3973.2,200.60,42.48,101.65,25.19,12.91
2022,7500,50.0,50.0,50.0,3941.4,199.67,42.93,101.20,25.76,12.84
2023,7500,50.0,50.0,50.0,4001.2,199.20,43.07,101.03,25.35,12.29
2024,7500,50.0,50.0,50.0,3979.2,199.75,40.83,101.14,24.08,13.32
2025,7500,50.0,50.0,50.0,3946.6,199.46,42.90,100.71,24.98,12.27
2026,7500,50.0,50.0,50.0,3974.5,200.15,43.24,101.17,25.68,12.05
2027,7500,50.0,50.0,50.0,4009.3,199.90,40.91,101.27,24.32,13.16
2028,7500,50.0,50.0,50.0,3969.3,199.60,43.31,101.02,25.16,13.74
2029,7500,50.0,50.0,50.0,4014.5,200.44,43.16,101.68,24.35,13.35
2030,7500,50.0,50.0,50.0,3986.6,200.62,40.14,101.61,24.73,12.62
2031,7500,50.0,50.0,50.0,4042.8,200.05,43.35,101.07,25.71,12.46
2032,7500,50.0,50.0,50.0,4000.5,200.07,39.58,101.22,23.89,13.54
2033,7500,50.0,50.0,50.0,3992.8,201.33,42.73,101.80,24.95,12.89
2034,7500,50.0,50.0,50.0,4038.0,200.36,41.27,101.73,25.79,13.32
2035,7500,50.0,50.0,50.0,3958.4,200.46,44.23,101.42,24.43,13.69
2036,7500,50.0,50.0,50.0,4006.9,199.12,40.14,100.55,24.72,13.15
2037,7500,50.0,50.0,50.0,3961.9,200.13,43.76,101.34,25.60,14.38
2038,7500,50.0,50.0,50.0,4030.2,200.03,43.75,101.42,24.88,13.31
2039,7500,50.0,50.0,50.0,3941.3,200.33,38.92,101.68,23.63,14.24
2040,7500,50.0,50.0,50.0,4020.4,200.45,43.22,101.75,24.58,13.57
2041,7500,50.0,50.0,50.0,4024.1,200.20,45.06,101.10,25.06,13.23
2042,7500,50.0,50.0,50.0,3952.9,200.11,42.56,100.74,25.80,13.79
2043,7500,50.0,50.0,50.0,4030.6,200.14,41.84,101.40,24.27,12.68
2044,7500,50.0,50.0,50.0,4019.9,199.55,43.23,100.86,24.51,13.16
2045,7500,50.0,50.0,50.0,3993.1,199.97,42.85,101.05,25.50,12.77
2046,7500,50.0,50.0,50.0,4103.3,200.36,41.54,101.49,24.36,12.36
2047,7500,50.0,50.0,50.0,4011.5,199.73,41.21,101.39,24.81,14.40
2048,7500,50.0,50.0,50.0,3935.9,200.34,42.42,101.11,25.51,12.38
2049,7500,50.0,50.0,50.0,3983.6,200.01,43.42,101.18,24.89,13.19
2050,7500,50.0,50.0,50.0,4021.1,199.98,41.29,101.67,24.96,13.25
2051,7500,50.0,50.0,50.0,3947.2,199.25,45.50,101.02,26.00,13.74
2052,7500,50.0,50.0,50.0,3995.4,200.49,44.64,101.54,25.19,14.35
2053,7500,50.0,50.0,50.0,4059.5,200.76,42.78,101.47,25.04,13.07
2054,7500,50.0,50.0,50.0,4041.4,199.96,43.54,101.86,25.93,12.21
2055,7500,50.0,50.0,50.0,3958.3,200.41,44.59,101.51,25.02,13.46
2056,7500,50.0,50.0,50.0,3941.6,199.18,41.98,100.58,24.76,13.71
2057,7500,50.0,50.0,50.0,4071.0,200.52,42.97,101.21,24.55,12.77
2058,7500,50.0,50.0,50.0,4024.1,200.03,41.24,101.49,24.43,12.27
2059,7500,50.0,50.0,50.0,4043.5,199.73,44.60,100.74,25.12,13.97
2060,7500,50.0,50.0,50.0,4046.8,199.91,44.78,101.05,24.44,12.96
2061,7500,50.0,50.0,50.0,3978.4,200.39,42.17,101.67,24.60,12.74
2062,7500,50.0,50.0,50.0,3970.8,201.08,41.75,101.84,25.91,12.34
2063,7500,50.0,50.0,50.0,4061.3,201.78,42.67,102.22,24.76,13.15
2064,7500,50.0,50.0,50.0,3958.2,200.89,42.09,101.57,25.13,12.52
2065,7500,50.0,50.0,50.0,3960.9,200.81,44.63,101.64,26.13,13.04
2066,7500,50.0,50.0,50.0,4068.6,200.50,40.46,101.39,23.89,12.20
2067,7500,50.0,50.0,50.0,4001.1,200.35,44.66,101.63,25.22,12.73
2068,7500,50.0,50.0,50.0,3950.7,200.22,43.65,101.26,25.13,12.65
2069,7500,50.0,50.0,50.0,3978.8,200.18,44.28,101.40,25.02,12.69
2070,7500,50.0,50.0,50.0,3974.7,200.27,41.46,101.43,24.80,12.19
2071,7500,50.0,50.0,50.0,4004.2,201.21,43.09,101.75,24.81,13.35
2072,7500,50.0,50.0,50.0,4006.0,200.04,41.24,100.92,25.33,13.31
2073,7500,50.0,50.0,50.0,3936.7,199.52,44.22,100.94,25.65,14.20
2074,7500,50.0,50.0,50.0,3926.1,199.76,41.51,101.10,24.59,12.99
2075,7500,50.0,50.0,50.0,3975.4,199.70,43.24,101.02,25.55,13.30
2076,7500,50.0,50.0,50.0,4079.3,199.72,44.58,100.93,25.44,13.72
2077,7500,50.0,50.0,50.0,3965.7,200.98,42.91,102.13,24.93,13.11
2078,7500,50.0,50.0,50.0,4030.6,199.66,42.23,100.69,24.65,12.06
2079,7500,50.0,50.0,50.0,3943.6,200.15,42.93,100.72,24.54,12.93
2080,7500,50.0,50.0,50.0,3959.9,200.05,43.64,101.01,24.77,12.93
2081,7500,50.0,50.0,50.0,3939.9,200.40,45.44,101.35,25.35,12.55
2082,7500,50.0,50.0,50.0,3964.8,200.34,41.61,101.71,25.04,12.74
2083,7500,50.0,50.0,50.0,3926.9,200.39,41.72,101.42,24.76,13.52
2084,7500,50.0,50.0,50.0,4019.3,199.99,44.41,101.21,25.13,13.33
2085,7500,50.0,50.0,50.0,4025.4,199.88,42.72,101.05,24.28,12.33
2086,7500,50.0,50.0,50.0,4026.8,200.55,42.25,101.20,24.73,12.15
2087,7500,50.0,50.0,50.0,4054.0,200.58,42.28,101.43,24.01,13.95
2088,7500,50.0,50.0,50.0,3944.5,200.42,40.90,100.92,24.38,13.64
2089,7500,50.0,50.0,50.0,4011.9,200.07,43.92,101.34,25.99,14.11
2090,7500,50.0,50.0,50.0,4060.9,200.42,43.53,100.97,25.08,13.26
2091,7500,50.0,50.0,50.0,3996.2,200.08,40.85,100.73,24.19,12.08
2092,7500,50.0,50.0,50.0,4020.3,200.24,40.82,101.25,24.01,13.36
2093,7500,50.0,50.0,50.0,4008.2,199.53,44.42,100.76,25.35,11.31
2094,7500,50.0,50.0,50.0,4021.0,199.23,43.26,100.98,25.73,13.39
2095,7500,50.0,50.0,50.0,3993.6,200.00,43.23,101.31,24.64,13.06
2096,7500,50.0,50.0,50.0,4063.4,199.36,42.73,101.02,25.60,13.53
2097,7500,50.0,50.0,50.0,3980.2,200.97,40.83,102.25,24.05,14.25
2098,7500,50.0,50.0,50.0,4087.8,200.42,43.78,101.50,24.85,14.11
2099,7500,50.0,50.0,50.0,3892.2,199.88,42.97,101.45,25.43,12.65
2100,7500,50.0,50.0,50.0,3960.3,200.83,42.62,101.77,25.03,13.48
2101,7500,50.0,50.0,50.0,3975.2,201.05,43.85,101.68,25.14,11.68
2102,7500,50.0,50.0,50.0,4027.3,199.33,43.43,100.43,25.35,12.77
2103,7500,50.0,50.0,50.0,3990.8,200.09,40.77,101.20,25.00,12.76
2104,7500,50.0,50.0,50.0,3978.7,199.90,43.26,101.10,25.69,12.99
2105,7500,50.0,50.0,50.0,3932.2,199.96,42.92,100.67,24.90,12.56
2106,7500,50.0,50.0,50.0,4006.6,200.25,41.65,100.93,25.53,12.54
2107,7500,50.0,50.0,50.0,4074.2,200.58,41.80,101.90,24.45,12.86
2108,7500,50.0,50.0,50.0,3985.5,200.24,41.67,101.45,24.78,12.71
2109,7500,50.0,50.0,50.0,4003.0,199.92,43.24,101.57,25.15,12.76
2110,7500,50.0,50.0,50.0,3992.7,199.88,42.71,101.52,25.05,14.08
2111,7500,50.0,50.0,50.0,3954.5,200.23,44.58,101.68,25.39,13.46
2112,7500,50.0,50.0,50.0,3961.1,200.27,43.37,101.79,25.20,12.89
2113,7500,50.0,50.0,50.0,3988.3,200.03,45.43,101.30,26.03,14.06
2114,7500,50.0,50.0,50.0,3978.2,200.26,43.68,101.31,25.39,12.33
2115,7500,50.0,50.0,50.0,4044.7,201.38,42.07,101.69,24.75,12.79
2116,7500,50.0,50.0,50.0,4010.2,200.17,42.94,101.39,25.02,13.18
2117,7500,50.0,50.0,50.0,3971.4,200.76,43.24,101.61,25.76,12.93
2118,7500,50.0,50.0,50.0,3946.4,200.53,43.06,101.44,25.30,12.47
2119,7500,50.0,50.0,50.0,3928.5,199.56,43.91,100.92,24.88,13.44
2120,7500,50.0,50.0,50.0,3972.0,199.50,42.99,100.73,25.37,13.01
2121,7500,50.0,50.0,50.0,3971.7,200.60,41.06,101.64,24.93,13.10
2122,7500,50.0,50.0,50.0,4014.5,199.74,43.77,101.36,25.82,13.68
2123,7500,50.0,50.0,50.0,3999.1,200.34,40.84,101.63,24.68,13.43
2124,7500,50.0,50.0,50.0,3986.7,200.11,41.39,101.53,24.97,11.98
2125,7500,50.0,50.0,50.0,3996.4,200.61,44.52,100.72,25.24,13.54
2126,7500,50.0,50.0,50.0,3978.8,199.79,42.58,100.87,25.86,13.66
2127,7500,50.0,50.0,50.0,3990.8,200.31,44.87,101.65,25.52,12.88
2128,7500,50.0,50.0,50.0,3990.5,200.58,43.39,101.52,25.71,12.92
2129,7500,50.0,50.0,50.0,4002.8,199.88,44.53,101.45,25.31,13.11
2130,7500,50.0,50.0,50.0,4007.8,200.09,42.95,101.12,24.95,12.60
2131,7500,50.0,50.0,50.0,3944.7,200.53,44.25,101.79,25.08,12.89
2132,7500,50.0,50.0,50.0,3983.0,200.32,42.88,101.52,25.17,13.22
2133,7500,50.0,50.0,50.0,3961.5,200.26,43.56,101.10,24.91,14.01
2134,7500,50.0,50.0,50.0,3942.3,200.12,43.35,101.24,24.90,12.38
2135,7500,50.0,50.0,50.0,3915.1,200.04,43.78,101.12,25.28,12.83
2136,7500,50.0,50.0,50.0,4000.1,200.19,42.89,101.55,25.18,12.41
2137,7500,50.0,50.0,50.0,4068.5,200.50,45.32,101.39,25.11,12.49
2138,7500,50.0,50.0,50.0,4009.4,200.76,41.64,101.99,24.38,12.81
2139,7500,50.0,50.0,50.0,4039.5,200.59,39.53,101.55,24.11,13.11
2140,7500,50.0,50.0,50.0,3992.3,200.77,42.33,101.36,24.44,13.71
2141,7500,50.0,50.0,50.0,3989.6,200.99,42.30,101.85,24.85,12.19
2142,7500,50.0,50.0,50.0,3917.0,200.46,44.04,102.08,24.95,13.18
2143,7500,50.0,50.0,50.0,4043.0,200.28,42.55,101.26,25.10,13.02
2144,7500,50.0,50.0,50.0,4021.2,200.30,42.59,100.95,24.72,12.92
2145,7500,50.0,50.0,50.0,3907.0,200.66,41.38,101.84,24.09,12.08
2146,7500,50.0,50.0,50.0,4053.7,199.90,40.76,101.13,24.92,13.36
2147,7500,50.0,50.0,50.0,3988.7,200.53,43.01,101.16,24.18,13.47
2148,7500,50.0,50.0,50.0,4007.7,200.26,40.64,101.36,24.51,13.59
2149,7500,50.0,50.0,50.0,3949.2,200.25,41.26,101.49,24.55,12.16
2150,7500,50.0,50.0,50.0,3993.4,200.55,44.52,101.55,24.87,12.66
2151,7500,50.0,50.0,50.0,3974.1,201.39,45.20,101.99,25.72,12.46
2152,7500,50.0,50.0,50.0,3954.7,200.34,41.60,101.05,24.33,12.63
2153,7500,50.0,50.0,50.0,3965.8,200.31,43.40,100.95,25.40,12.29
2154,7500,50.0,50.0,50.0,3992.4,200.19,42.11,101.40,24.95,13.21
2155,7500,50.0,50.0,50.0,3879.8,200.73,42.81,101.58,25.34,13.05
2156,7500,50.0,50.0,50.0,3973.0,200.20,41.40,101.08,25.00,12.30
2157,7500,50.0,50.0,50.0,3946.6,199.67,45.16,101.05,25.52,13.26
2158,7500,50.0,50.0,50.0,3946.4,201.25,43.65,101.96,24.98,12.53
2159,7500,50.0,50.0,50.0,4015.0,201.07,43.17,102.03,25.02,13.08
2160,7500,50.0,50.0,50.0,3927.2,201.12,42.35,101.76,24.56,13.03
2161,7500,50.0,50.0,50.0,3938.9,200.89,42.14,101.98,24.26,12.75
2162,7500,50.0,50.0,50.0,3989.3,200.77,44.50,101.82,25.17,13.93
2163,7500,50.0,50.0,50.0,4034.6,199.68,42.61,100.97,25.24,13.17
2164,7500,50.0,50.0,50.0,3984.9,200.47,44.17,101.87,24.87,12.65
2165,7500,50.0,50.0,50.0,4006.6,200.71,43.49,101.46,24.77,12.98
2166,7500,50.0,50.0,50.0,3983.5,200.20,41.16,101.28,24.42,12.39
2167,7500,50.0,50.0,50.0,3967.6,200.28,41.21,101.35,25.28,13.28
2168,7500,50.0,50.0,50.0,3938.5,199.34,41.61,100.70,25.37,13.84
2169,7500,50.0,50.0,50.0,3966.4,200.15,41.23,101.21,24.55,13.34
2170,7500,50.0,50.0,50.0,4027.1,199.79,43.60,100.96,25.07,12.64
2171,7500,50.0,50.0,50.0,3896.8,199.57,42.63,101.18,24.52,13.03
2172,7500,50.0,50.0,50.0,3980.4,199.67,41.29,100.77,25.21,13.22
2173,7500,50.0,50.0,50.0,3988.8,200.17,43.03,101.31,25.16,13.48
2174,7500,50.0,50.0,50.0,4008.5,200.59,39.59,101.73,24.83,13.47
2175,7500,50.0,50.0,50.0,4043.6,198.87,41.61,100.65,24.98,12.84
2176,7500,50.0,50.0,50.0,4011.3,200.20,43.45,101.27,25.20,11.66
2177,7500,50.0,50.0,50.0,3965.7,200.97,44.48,102.18,25.52,14.02
2178,7500,50.0,50.0,50.0,3943.2,200.36,43.43,101.98,25.11,12.90
2179,7500,50.0,50.0,50.0,3981.0,200.32,43.03,101.77,24.98,12.80
2180,7500,50.0,50.0,50.0,3996.4,199.86,43.11,101.20,24.61,13.62
2181,7500,50.0,50.0,50.0,3902.5,199.95,44.07,101.06,26.06,12.16
2182,7500,50.0,50.0,50.0,4045.7,200.27,41.94,101.75,24.93,12.90
2183,7500,50.0,50.0,50.0,3986.2,200.36,40.42,101.55,24.66,13.18
2184,7500,50.0,50.0,50.0,3925.5,199.20,41.39,100.57,24.27,13.25
2185,7500,50.0,50.0,50.0,3941.4,199.89,43.81,101.28,25.41,13.32
2186,7500,50.0,50.0,50.0,4038.0,200.01,41.22,100.70,24.91,12.63
2187,7500,50.0,50.0,50.0,3964.2,199.93,44.27,100.86,24.01,13.04
2188,7500,50.0,50.0,50.0,3982.5,199.21,41.47,100.91,24.77,13.25
2189,7500,50.0,50.0,50.0,4001.7,200.31,42.65,101.30,25.64,12.29
2190,7500,50.0,50.0,50.0,3984.1,199.23,44.41,100.94,24.38,13.33
2191,7498,50.2,49.8,50.2,3976.3,200.15,40.41,100.99,24.97,11.52
2192,7497,50.4,49.5,50.4,3980.4,199.70,43.39,101.50,24.26,14.32
2193,7495,50.6,49.3,50.6,4073.4,199.42,42.00,100.83,24.66,11.61
2194,7493,50.8,49.0,50.8,4213.2,199.43,41.54,101.26,25.14,12.45
2195,7492,51.0,48.8,51.0,4220.3,199.71,41.51,100.64,24.08,13.07
2196,7490,51.2,48.5,51.2,4244.1,199.53,44.36,100.74,25.56,11.86
2197,7488,51.5,48.3,51.5,4259.5,199.84,43.62,101.50,25.89,12.66
2198,7487,51.7,48.0,51.7,4343.7,199.88,42.79,101.40,25.35,12.00
2199,7485,51.9,47.8,51.9,4342.2,199.43,42.50,101.13,25.04,13.22
2200,7483,52.1,47.5,52.1,4362.9,200.33,43.43,101.57,25.34,13.52
2201,7482,52.3,47.3,52.3,4435.2,199.50,41.58,101.05,24.86,12.60
2202,7480,52.5,47.0,52.5,4467.8,199.16,42.21,100.82,24.32,13.57
2203,7478,52.7,46.8,52.7,4459.3,199.80,43.78,101.64,25.76,13.27
2204,7477,52.9,46.5,52.9,4629.1,199.14,40.84,101.12,24.74,11.93
2205,7475,53.1,46.3,53.1,4541.6,199.20,43.53,101.21,25.56,13.44
2206,7473,53.3,46.0,53.3,4585.4,199.03,40.62,101.14,24.87,13.45
2207,7472,53.5,45.8,53.5,4722.7,198.94,42.72,101.30,25.13,12.48
2208,7470,53.7,45.5,53.7,4753.8,199.12,42.64,101.47,24.94,13.68
2209,7468,54.0,45.3,54.0,4741.6,198.54,42.53,101.48,24.45,11.94
2210,7467,54.2,45.0,54.2,4725.6,198.74,42.18,100.61,24.91,12.04
2211,7465,54.4,44.8,54.4,4843.6,198.11,43.18,100.44,24.92,12.69
2212,7463,54.6,44.5,54.6,4840.7,199.16,42.06,101.48,25.17,12.75
2213,7462,54.8,44.3,54.8,4887.1,198.39,42.11,101.42,25.71,13.18
2214,7460,55.0,44.0,55.0,4943.1,198.81,42.03,100.97,25.20,11.92
2215,7458,55.2,43.8,55.2,4934.4,198.78,44.57,101.46,25.53,13.52
2216,7457,55.4,43.5,55.4,4981.5,198.39,42.26,100.95,24.97,11.87
2217,7455,55.6,43.3,55.6,5013.3,198.34,42.27,101.17,24.60,12.19
